FACID,FACNAME,FAC_TYPE_CODE,FAC_FDR,LTC,CAPACITY,ADDRESS,CITY,ZIP,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,LICENSE_NUMBER,BUSINESS_NAME,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,OSHPD_NUMBER,StreetNumber,StreetName,CCHLO_Code,CCLHO_Name,FIPS_Couunty_Code
10000001,GOLDEN LIVINGCENTER PETALUMA,SNF,SKILLED NURSING FACILITY,LTC,99,101 MONROE ST,PETALUMA,94954,"CHOPERENA, MONICA",LEGALDEPT@GOLDENLIVING.COM,(707) 763-5219,(707) 763-4109,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000102,"BEVERLY HEALTH AND REHABILITATION SERVICES, INC.",5-Jul-73,7-Nov-15,,PROFIT CORP,38.256304,-122.627573,"(38.256304, -122.627573)",206492251,101,MONROE ST,49,SONOMA,97
10000003,CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH,SNF,SKILLED NURSING FACILITY,LTC,181,850 SONOMA AVE,SANTA ROSA,95404,"DURANCZYK, PAUL",PAULD@THEKKEK.COM,(707) 578-2140,(707) 544-7750,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000011,"NADHAN, INC.",12-Aug-69,19-Nov-15,,PROFIT CORP,38.439363,-122.706353,"(38.439363, -122.706353)",206490940,850,SONOMA AVE,49,SONOMA,97
10000004,LANTERN HEALTH CRESCENT CITY,SNF,SKILLED NURSING FACILITY,LTC,99,1280 MARSHALL ST,CRESCENT CITY,95531,"CROWL, CHRISTINE M",JEFFDAVIS@CCNRC.BIZ,(707) 464-6064,(707) 464-6151,70,DEL NORTE,11,SANTA ROSA/REDWOOD COAST,Y,10000009,"LANTERN OF CRESCENT CITY, LLC",14-Sep-71,1-Apr-16,,LIMITED LIABILITY COMPANY,41.768534,-124.200401,"(41.768534, -124.200401)",206080930,1280,MARSHALL ST,8,DEL NORTE,15
10000005,WINDSOR CARE CENTER OF PETALUMA,SNF,SKILLED NURSING FACILITY,LTC,79,523 HAYES LN,PETALUMA,94952,"NAIN, KABIR",KCESS@SNFMGT.COM,(707) 763-4860,(707) 763-2457,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000010,"WINDSOR CARE CENTER OF PETALUMA, LLC",1-Jun-93,28-Mar-16,,LIMITED LIABILITY COMPANY,38.221764,-122.647286,"(38.221764, -122.647286)",206490931,523,HAYES LN,49,SONOMA,97
10000020,FIRCREST CONVALESCENT HOSPITAL,SNF,SKILLED NURSING FACILITY,LTC,50,7025 CORLINE CT,SEBASTOPOL,95472,"TRASK, APRIL",PSTEPHENS@THEKKEK.COM,(707) 827-4489,(707) 823-7444,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000012,"SANDHYA, INC.",1-Jul-88,13-Mar-16,,PROFIT CORP,38.389866,-122.813782,"(38.389866, -122.813782)",206490947,7025,CORLINE CT,49,SONOMA,97
10000022,FRIENDS HOUSE,SNF,SKILLED NURSING FACILITY,LTC,34,684 BENICIA DRIVE,SANTA ROSA,95409,,FRIENDSHOUSE@RETIREMENT.ORG,(707) 576-6616,(707) 538-0152,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000123,FRIENDS ASSN OF SVCS FOR THE ELDERLY,16-Apr-84,16-Nov-15,,NONPROFIT CORP,38.47153,-122.673962,"(38.47153, -122.673962)",206492287,684,BENICIA DRIVE,49,SONOMA,97
10000024,"GRANADA REHAB & WELLNESS CENTER, LP",SNF,SKILLED NURSING FACILITY,LTC,87,2885 HARRIS ST,EUREKA,95503,"BRASIER, ALICE",ADMINISTRATOR@GRANADAREHABWC.COM,(707) 441-8446,(707) 443-1627,110,HUMBOLDT,11,SANTA ROSA/REDWOOD COAST,Y,10000015,"GRANADA REHABILITATION & WELLNESS CENTER, LP",1-Apr-79,1-Nov-15,,PARTNERSHIP,40.780493,-124.135503,"(40.780493, -124.135503)",206120955,2885,HARRIS ST,12,HUMBOLDT,23
10000026,APPLE VALLEY POST-ACUTE REHAB,SNF,SKILLED NURSING FACILITY,LTC,95,1035 GRAVENSTEIN AVE,SEBASTOPOL,95472,"WEBB, JONATHAN H",,(707) 823-7672,(707)823-7675,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000016,"A.V.C.H., INC. DBA APPLE VALLEY POST-ACUTE REHAB",1-Jan-78,21-Nov-15,,PROFIT CORP,38.389299,-122.815301,"(38.389299, -122.815301)",206490956,1035,GRAVENSTEIN AVE,49,SONOMA,97
10000028,EMPRES POST ACUTE REHABILITATION,SNF,SKILLED NURSING FACILITY,LTC,98,300 DOUGLAS ST,PETALUMA,94952,"SMITH, CONSTANCE  A",WWW.119ED@EHCMAIL.COM,(707) 763-0314,(707) 763-6887,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000018,"EVERGREEN AT PETALUMA, LLC",18-Nov-69,1-Nov-15,,LIMITED LIABILITY COMPANY,38.227873,-122.644498,"(38.227873, -122.644498)",206490961,300,DOUGLAS ST,49,SONOMA,97
10000029,HEALDSBURG SENIOR LIVING COMMUNITY,SNF,SKILLED NURSING FACILITY,LTC,38,725 GROVE ST,HEALDSBURG,95448,"MATTHEWS, ROBERT",RMATTHEWS@AVALONHCI.COM,(801) 596-9001,(707) 433-4877,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000014,"BERRYMAN HEALTH, INC.",1-Aug-87,1-Nov-15,,PROFIT CORP,38.626479,-122.875796,"(38.626479, -122.875796)",206490954,725,GROVE ST,49,SONOMA,97
10000033,GOLDEN LIVING CENTER- SANTA ROSA,SNF,SKILLED NURSING FACILITY,LTC,99,4650 HOEN AVE,SANTA ROSA,95405,"OTTERSON, GEORGIA",KRISTA.ELMORE@GOLDENLIVING.COM,(707) 546-0613,(707) 546-0471,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000029,"BEVERLY HEALTH AND REHABILITATION SERVICES, INC.",3-Nov-67,1-Jun-16,,PROFIT CORP,38.441625,-122.665655,"(38.441625, -122.665655)",206491000,4650,HOEN AVE,49,SONOMA,97
10000034,GOLDEN LIVING CENTER - LONDON HOUSE SONOMA,SNF,SKILLED NURSING FACILITY,LTC,83,678 2ND ST W,SONOMA,95476,"CARLSON, AMBER R",LEGALDEPT@GOLDENLIVING.COM,(707) 938-1643,(707) 938-1096,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000030,"BEVERLY HEALTH AND REHABILITATION SERVICES, INC.",22-Sep-64,1-Jun-16,,PROFIT CORP,38.289115,-122.461706,"(38.289115, -122.461706)",,678,2ND ST W,49,SONOMA,97
10000037,CLOVERDALE HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,72,300 CHERRY CREEK RD,CLOVERDALE,95425,"GAMBLE, SHAWNDEE L",AWILLITS@ENSIGNGROUP.NET,(707) 894-5201,(707) 894-5201,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000157,ENSIGN CLOVERDALE LLC,1-Jun-67,16-May-16,,LIMITED LIABILITY COMPANY,38.79485,-123.024658,"(38.79485, -123.024658)",206491003,300,CHERRY CREEK RD,49,SONOMA,97
10000043,PARK VIEW POST ACUTE,SNF,SKILLED NURSING FACILITY,LTC,116,3751 MONTGOMERY DR,SANTA ROSA,95405,"WILLITS, ADAM",CMONETTE@ENSIGNGROUP.NET,(707) 525-0159,(707) 525-1250,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000062,"ENSIGN MONTGOMERY, LLC",1-Feb-86,1-Jan-16,,LIMITED LIABILITY COMPANY,38.452262,-122.674944,"(38.452262, -122.674944)",206491058,3751,MONTGOMERY DR,49,SONOMA,97
30001559,SPECIALTY CLINIC (PEDIATRIC),FQHC,"COMMUNITY CLINIC 	",Non-LTC,0,830 SCENIC DR,MODESTO,95350,"LEE, MARY A",,,(209) 558-7646,600,STANISLAUS,4,FRESNO,Y,,,,,,,37.647187,-120.981105,"(37.647187, -120.981105)",,830,SCENIC DR,50,STANISLAUS,99
10000047,NORTHBROOK HEALTHCARE CENTER,SNF,SKILLED NURSING FACILITY,LTC,70,64 NORTHBROOK WAY,WILLITS,95490,"GAMBLE, SHAWNDEE L",SGAMBLE@ENSIGNGROUP.NET,(707) 459-4727,(707) 459-5592,330,MENDOCINO,11,SANTA ROSA/REDWOOD COAST,Y,10000049,ENSIGN WILLITS LLC,18-May-70,16-May-16,,LIMITED LIABILITY COMPANY,39.415171,-123.361256,"(39.415171, -123.361256)",206231024,64,NORTHBROOK WAY,23,MENDOCINO,45
10000051,"PACIFIC REHABILITATION & WELLNESS CENTER, LP",SNF,SKILLED NURSING FACILITY,LTC,60,2211 HARRISON AVE,EUREKA,95501,"L'ALLIER, SAMANTHA",ADMINISTRATOR@PACIFICREHABWC.COM,(707) 441-8447,(707) 443-9767,110,HUMBOLDT,11,SANTA ROSA/REDWOOD COAST,Y,10000051,"PACIFIC REHABILITATION & WELLNESS CENTER, LP",5-Oct-66,1-Nov-15,,PARTNERSHIP,40.787504,-124.139643,"(40.787504, -124.139643)",206121030,2211,HARRISON AVE,12,HUMBOLDT,23
10000052,PETALUMA POST-ACUTE REHABILITATION,SNF,SKILLED NURSING FACILITY,LTC,90,1115 B ST,PETALUMA,94952,"MOORE, BRETT",,(707) 765-6416,(707) 765-3030,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000056,"PETALUMA C.C., INC. DBA PETALUMA POST-ACUTE REHAB.",11-Apr-69,26-Mar-16,,PROFIT CORP,38.222255,-122.645763,"(38.222255, -122.645763)",206491035,1115,B ST,49,SONOMA,97
10000059,SANTA ROSA CONVALESCENT HOSPITAL,SNF,SKILLED NURSING FACILITY,LTC,62,446 ARROWOOD DR,SANTA ROSA,95407,"BENSON, FREDERICK",SRCH@SONIC.NET,(707) 568-1209,(707) 528-2100,590,SONOMA,11,SANTA ROSA/REDWOOD COAST,Y,10000064,"ASHLEY L.T.C., INC.",10-Jun-66,1-Nov-15,,PROFIT CORP,38.421459,-122.718762,"(38.421459, -122.718762)",206491062,446,ARROWOOD DR,49,SONOMA,97
